title,tags
Toy Story,woody andys buzz duo eventually difference afraid losing place Animation  Comedy  Family buena noventas corta JohnLasseter TomHanks
Jumanji,game alan alans giant rhinoceros evil monkey terrifying judy peter discover Adventure  Fantasy  Family buena noventas corta JoeJohnston RobinWilliams
Heat,obsessive master thief neil mccauley lead topnotch crew insane heist Action  Crime  Drama  Thriller buena noventas media MichaelMann AlPacino
GoldenEye,james bond mysterious head janus syndicate prevent leader utilizing goldeneye Adventure  Action  Thriller buena noventas media MartinCampbell PierceBrosnan
Balto,alaska Family  Animation  Adventure buena noventas corta SimonWells KevinBacon
Casino,dark mafia gambling paradise la Drama  Crime buena noventas media MartinScorsese RobertDeNiro
Sense and Sensibility,mr dashwood dy leaving second wife daughter poor rule titular Drama  Romance buena noventas media AngLee KateWinslet
Four Rooms,ted bellhop evening room service serving unusual guest place outrageous Crime  Comedy buena noventas corta AllisonAnders TimRoth
Ace Ventura: When Nature Calls,wachati wedding wachatis ace journey jungle ashram missing sacred vicious tribal Crime  Comedy  Adventure buena noventas corta SteveOedekerk JimCarrey
Assassins,robert rath kill killing job fall female man finding rival Action  Adventure  Crime  Thriller buena noventas media RichardDonner SylvesterStallone
Leaving Las Vegas,ben sanderson alcoholic hollywood screenwriter lost drinking arrives la vega drink Drama  Romance buena noventas corta MikeFiggis NicolasCage
Twelve Monkeys,virus cole sent locked discover key mysterious unleashing killer convict Science Fiction  Thriller  Mystery buena noventas media TerryGilliam BruceWillis
Babe,babe pig sheep know dog odd friend like ferdinand duck Fantasy  Drama  Comedy  Family buena noventas corta ChrisNoonan ChristineCavanaugh
Dead Man Walking,justice drama based true story man death row nun strong Drama buena noventas media TimRobbins SusanSarandon
Clueless,success successful cher klutzy new student tai hill misguided rich dating Comedy  Drama  Romance buena noventas corta AmyHeckerling AliciaSilverstone
Mortal Kombat,evil mortal video game seemingly insurmountable actionadventure movie forever save Action  Fantasy regular noventas corta PaulW.S.Anderson ChristopherLambert
Se7en,homicide detective desperate hunt serial killer mind novice partner inside Crime  Mystery  Thriller excelente noventas media DavidFincher BradPitt
Pocahontas,come coming world pocahontas native american arranged marry village best john Adventure  Animation  Drama  Family buena noventas corta MikeGabriel IreneBedard
The Usual Suspects,interrogation interrogator verbal crime keyser soze multimillion dollar heist ended explosion Drama  Crime  Thriller buena noventas corta BryanSinger StephenBaldwin
Friday,craig smokey los angeles hanging porch friday afternoon smoking drinking Comedy buena noventas corta F.GaryGray IceCube
From Dusk Till Dawn,seth gecko younger brother richard run bloody bank robbery texas Horror  Action  Thriller  Crime buena noventas corta RobertRodriguez GeorgeClooney
Broken Arrow,hale terry deserted air force stealthfighter pilot nuclear warhead hope Action  Adventure  Drama  Thriller regular noventas corta JohnWoo JohnTravolta
La Haine,whiling away day concrete environs deadend suburbia vinz hubert said Drama buena noventas corta MathieuKassovitz VincentCassel
Happy Gilmore,happy happys house prize tour publicist hockey playerturnedgolf approach antic grass Comedy buena noventas corta DennisDugan AdamSandler
The Bridges of Madison County,housewife francesca robert kincaid wanders Drama  Romance buena noventas media ClintEastwood MerylStreep
Braveheart,english slaughter murron new bride childhood love scottish warrior william Action  Drama  History  War buena noventas media MelGibson MelGibson
Taxi Driver,action attempting save preadolescent prostitute unstable vietnam war veteran work Crime  Drama buena setentas corta MartinScorsese RobertDeNiro
Bad Boys,man sole witness murder station nose complicate matter burnett henpecked Action  Comedy  Crime  Thriller buena noventas corta MichaelBay WillSmith
The Basketball Diaries,free fall harrowing world drug adaptation street tough jim carroll Drama  Crime buena noventas corta ScottKalvert LeonardoDiCaprio
Apollo 13,crew astronaut story technical trouble scuttle apollo avert lunar saga Drama buena noventas media RonHoward TomHanks
Batman Forever,twoface batman nygma acrobat millionaire left attorney knight gotham partner Action  Crime  Fantasy regular noventas media JoelSchumacher ValKilmer
Casper,ghost determined mansion hidden harvey casper kat away carrigan late Fantasy  Comedy  Family buena noventas corta BradSilberling ChristinaRicci
Crimson Tide,nuclear missile sub confirming stage mutiny prevent trigger happy captain Action  Thriller  Drama buena noventas corta TonyScott DenzelWashington
Desperado,runner Thriller  Action  Crime buena noventas corta RobertRodriguez AntonioBanderas
Die Hard: With a Vengeance,mcclane badguy actionpacked new civilian zeus carver deadly game demand Action  Thriller buena noventas media JohnMcTiernan BruceWillis
Hackers,friend teenager arrested u secret service discovers plot nefarious pursued Action  Crime  Thriller  Drama buena noventas corta IainSoftley JonnyLeeMiller
Johnny Mnemonic,data killed kill package implant information far important removed remove run race Adventure  Action  Drama  Science Fiction  Thriller regular noventas corta RobertLongo KeanuReeves
Judge Dredd,future dredd famous judge cop convicted crime commit murderous counterpart Science Fiction regular noventas corta DannyCannon SylvesterStallone
Mallrats,dumped girlfriend seek refuge local Romance  Comedy buena noventas corta KevinSmith JasonLee
The Net,bennett life vacation mexico u soon new marx assumed real Crime  Drama  Mystery  Thriller  Action regular noventas corta IrwinWinkler SandraBullock
Species,dna splice armourplated killing machine blink extra terrestrial intelligence project Science Fiction  Horror  Action regular noventas corta RogerDonaldson NatashaHenstridge
Waterworld,futuristic world polar ice cap melted liquid planet beautiful barmaid Adventure  Action buena noventas media KevinReynolds KevinCostner
Before Sunrise,marathon film fairytale love story american boy french girl day Drama  Romance buena noventas corta RichardLinklater EthanHawke
Billy Madison,grade billy madison family hotel industry father empire make rich Comedy buena noventas corta TamraDavis AdamSandler
Clerks,"video store clerk dante randal visit funeral home deal love Comedy buena noventas corta KevinSmith ""BrianOHalloran"""
Dumb and Dumber,lloyd harry woman loses important suitcase money decide return adventure Comedy buena noventas corta PeterFarrelly JimCarrey
Ed Wood,story legendary worst director time help strange friend filmed countless Comedy  Drama  History buena noventas media TimBurton JohnnyDepp
A Goofy Movie,son max roxanne principal crosscountry fishing trip cluelessness klutzy pratfall Romance  Animation  Family  Comedy  Adventure buena noventas corta KevinLima BillFarmer
Interview with the Vampire,relates epic life story love betrayal loneliness dark hunger overcurious Horror  Romance buena noventas media NeilJordan BradPitt
Junior,carry pregnancy research project male Comedy  Family  Romance regular noventas corta IvanReitman ArnoldSchwarzenegger
Star Wars,empire princess robot duo imperial force captain han solo r Adventure  Action  Science Fiction excelente setentas media GeorgeLucas MarkHamill
Legends of the Fall,epic tale brother father living remote wilderness affected history war Adventure  Drama  Romance  War buena noventas media EdwardZwick BradPitt
Natural Born Killers,victim traumatized childhood medium Crime  Thriller  Drama buena noventas corta OliverStone WoodyHarrelson
Outbreak,virus usa start killing people epidemic rate col sam daniel Action  Drama  Science Fiction  Thriller buena noventas media WolfgangPetersen DustinHoffman
Leon: The Professional,mathildas yearold mathilda leon custodian man new loosecannon dea considers following Thriller  Crime  Drama excelente noventas corta LucBesson JeanReno
Pulp Fiction,story ingeniously trip boxer converge sprawling comedic crime caper adventure Thriller  Crime excelente noventas media QuentinTarantino JohnTravolta
The Quick and the Dead,mysterious woman come compete quickdraw elimination tournament town taken notorious Action  Western buena noventas corta SamRaimi SharonStone
Stargate,interstellar teleportation device human resembling ancient egyptian worship god lead Action  Adventure  Science Fiction buena noventas media RolandEmmerich KurtRussell
The Santa Clause,santa christmas scott calvin ordinary man pole convince trip knocked Fantasy  Drama  Comedy  Family buena noventas corta JohnPasquin TimAllen
The Shawshank Redemption,prison prisoner dufresne unquenchable sense murder wife lover skill work amoral Drama  Crime excelente noventas media FrankDarabont TimRobbins
Star Trek: Generations,sorans seventyeight jeanluc picard crew renegade scientist soran destroying entire help Science Fiction  Action  Adventure  Thriller buena noventas corta DavidCarson PatrickStewart
What's Eating Gilbert Grape,gilbert care brother arnie obese mother life Romance  Drama buena noventas corta LasseHallström JohnnyDepp
Ace Ventura: Pet Detective,dolphin ventura pet detective jim carrey wow mascot quarterback dan Comedy  Mystery buena noventas corta TomShadyac JimCarrey
Clear and Present Danger,fought u government colombian drug analyst jack ryan drawn illegal Action  Drama  Thriller buena noventas media PhillipNoyce HarrisonFord
The Crow,draven exactly young rock guitarist hypnotic crow return grave exact ruthless Fantasy  Action  Thriller buena noventas corta AlexProyas BrandonLee
The Flintstones,barney executive good repay slate mining test stone age family Fantasy  Comedy  Family regular noventas corta BrianLevant JohnGoodman
Forrest Gump,thing love man important present significant historic event case far Comedy  Drama  Romance excelente noventas media RobertZemeckis TomHanks
Four Weddings and a Funeral,wedding funeral british man named charles american woman determine right Comedy  Drama  Romance buena noventas corta MikeNewell HughGrant
